stkcd_01,reptdt,repart,relation,trasub,direction,repttype,isam,pannrsm,repat,corebs,site,year,prvn_01,pftn_01,indusb_01,indcodeb_01,coname_cn_01,listplte,coname_cn,prvn_02,pftn_02,period
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,2000000.0,0.12433693297312816,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,580000.0,0.03605771056220717,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,1400000.0,0.08703585308118972,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NegriM.-NegriG.,12,1.0,2.0,1.0,1881000.0,0.11693888546122704,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,230308.35,0.01431791693855087,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,571356.13,0.035520334419797954,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NegriM.-NegriG.,12,1.0,2.0,1.0,422660.71,0.026276168184822382,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,青岛富路投资控股集团有限公司,07,1.0,1.0,1.0,307450000.0,1.0,13,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,关键管理人员,09,1.0,2.0,1.0,7869200.0,1.0,20,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆富民银行股份有限公司,03,1.0,1.0,1.0,858200.0,1.0,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,超能(香港)国际有限公司,02,1.0,1.0,1.0,2500000.0,0.008264462809917356,06,柴油发电机组、发动机、发电机、工程机械等产品的进出口贸易,"9/F.,YueHingBldg.,101-105HennessyRd.,Wanchai,HongKong",2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,60000000.0,0.19834710743801653,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,60000000.0,0.19834710743801653,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,60000000.0,0.19834710743801653,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,30000000.0,0.09917355371900827,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,90000000.0,0.2975206611570248,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,1.0,19491561.93,0.8601803288553809,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,1.0,938053.09,0.04139713473644675,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,1.0,1891389.0,0.08346871419829052,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,1.0,338851.45,0.014953822209881907,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆镁业科技股份有限公司,03,1.0,2.0,1.0,1117045.26,0.009276294681491666,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆亚庆机械制造有限公司,10,1.0,2.0,1.0,113839226.0,0.9453566874174175,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,平顶山兆民实业有限公司,12,1.0,2.0,1.0,3894764.78,0.03234335000389783,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,贵州航电,12,1.0,2.0,1.0,1558076.41,0.01293875587050128,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆宝汇钢结构工程有限公司,10,1.0,2.0,1.0,287988.63,1.0,03,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州宝言贸易有限公司,12,1.0,2.0,1.0,10225.05,8.49120266917263e-05,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,诺玛科(重庆)汽车零部件有限公司,12,1.0,1.0,1.0,50514426.31,0.519662941917657,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,诺玛科(南京)汽车零部件有限公司,12,1.0,1.0,1.0,40644604.34,0.4181279726861373,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆金菱车世界有限公司,03,1.0,1.0,1.0,4134967.87,0.042538136627987534,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆镁业科技股份有限公司,03,1.0,1.0,1.0,1464400.53,0.015064898151974603,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,金大路车业,12,1.0,1.0,1.0,267546.52,0.0027523624801714846,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,山东丽驰,12,1.0,1.0,1.0,180459.85,0.0018564656356486117,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,贵州航电,12,1.0,1.0,1.0,3584.08,3.687092367313547e-05,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,山东元齐新动力科技有限公司,12,1.0,1.0,1.0,-22.7,-2.3352435419415169e-07,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,LONCINMOTOREGYPT,06,1.0,1.0,1.0,-3831.37,-3.941489889554392e-05,01,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,重庆金菱车世界有限公司,03,1.0,1.0,1.0,18401257.15,1.0,07,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州宝言贸易有限公司,12,1.0,2.0,1.0,2065988.41,0.8443004745587852,07,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州金言贸易有限公司,12,1.0,2.0,1.0,380994.0,0.15569952544121474,07,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,90000000.0,0.38416390993490557,06,发电机及发电机组制造、安装、销售,广州市番禺区沙头街丽骏路59号,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,60000000.0,0.25610927328993704,06,发电机及发电机组制造、安装、销售,广州市番禺区沙头街丽骏路59号,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,16575000.0,0.0707501867463451,06,发电机及发电机组制造、安装、销售,广州市番禺区沙头街丽骏路59号,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,60000000.0,0.25610927328993704,06,发电机及发电机组制造、安装、销售,广州市番禺区沙头街丽骏路59号,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,超能(香港)国际有限公司,02,1.0,1.0,1.0,2500000.0,0.010671219720414044,06,柴油发电机组、发动机、发电机、工程机械等产品的进出口贸易,"FLAT/RMB13/F,CHOWSHINGKEECOMMBLDG25TONNGMINROADKL",2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,超能(香港)国际有限公司,02,1.0,1.0,1.0,5200000.0,0.02219613701846121,06,柴油发电机组、发动机、发电机、工程机械等产品的进出口贸易,"FLAT/RMB13/F,CHOWSHINGKEECOMMBLDG25TONNGMINROADKL",2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,3000000.0,0.1840591410144316,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,4000000.0,0.24541218801924214,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
